A way of thinking about something that seems correct and reasonable,2,Math,Logic,Realistic,Optimism
The amount of money that you spend on something,4,Independence,Science,Brace,Expense
A special advantage that is given only to one person or group of people,1,Privilege,Village,Age,Colleague
The use of money to get a profit or to make a business activity successful,2,Apartment,Investment,Department,Parliament
When a particular type of animal or plant stops existing,4,Explosion,Illusion,Lion,Extinction
A sudden strong desire to do something without thinking about whether it is a sensible thing to do,1,Impulse,Course,Source,Rice
An area where people live which is away from the centre of a town or city,3,India,Airbnb,Suburb,Subway
The act of realizing and accepting that something is true or important,1,Recognition,Passion,Lion,Onion
Continuing or developing gradually or without stopping,3,Duty,Study,Steady,Hot Lady
Someone who is being considered for a job or is competing in an election,4,Candy,Andy,Outdated,Candidate
The possibility that something will happen,1,Prospect,Pretect,Prepare,Professional
Continuing to exist for a long time or for all the time in the future,3,Temporal,Permission,Permanent,Person
An official attempt to find out the truth about or the cause of something such as a crime,2,Investment,Investigation,Internal,India
Having a lot of small parts or details put together in a complicated way,4,Elbow,Erostic,Rotate,Elaborate
To become or make something become smaller or less,1,Diminish,Foolish,Coolish,I don't know lol
To travel in a curved path around a much larger object such as the Earth,3,Credit,Shuttle,Orbit,Rabbit
Someone who does someone elseâ€™s job for a limited period of time,2,Institute,Substitute,Conjugal,Attitude
Used to say that the opposite of a situation you have just described is also true,3,Vice President,Mice,Vice-Versa,Vertical
To deliberately get involved in a situation where you are not wanted or needed,1,Interfere,Fear,Interface,Intersection
To prepare and use land for growing crops and plants,4,Activate,Invade,Going to bed,Cultivate
